AI TYPE,VICTORIES,DEFEATS,DPS,ROUND LENGTH
Random,4,1,1.662289,26.10858
One,4,1,1.917708,22.83977
One,4,1,1.931237,22.67977
One,4,1,1.926785,22.93976
One,4,1,1.91603,22.85977
